Id Label Weight Yaoxing
益母草 益母草 1 微寒
桑寄生 桑寄生 2 平
鸡子黄 鸡子黄 1 平
枇杷叶 枇杷叶 1 平
细生地 细生地 2 寒
冰糖 冰糖 1 平
当归身 当归身 2 温
百合 百合 1 微寒
大腹皮 大腹皮 2 温
藿香 藿香 2 温
萹蓄 萹蓄 1 寒
栀子仁 栀子仁 1 寒
白豆蔻 白豆蔻 3 温
射干 射干 1 寒
防己 防己 1 寒
生姜皮 生姜皮 1 凉
茯苓皮 茯苓皮 1 平
木瓜 木瓜 1 温
草果仁 草果仁 1 温
附子炮 附子炮 2 大热
川萆薢 川萆薢 1 平
藁本 藁本 1 温
胆南星 胆南星 2 凉
礞石 礞石 1 平
莱菔子 莱菔子 2 平
橘红 橘红 1 温
竹沥 竹沥 1 寒
山楂 山楂 2 微温
麦芽 麦芽 2 平
葛花 葛花 1 凉
蜀椒 蜀椒 1 大热
瓜蒂 瓜蒂 1 寒
赤小豆 赤小豆 1 平
