公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京夜神数娱科技有限公司,夜神数娱,50-150人,B轮,海淀区,前端研发工程师,1-3年,本科,15k-25k,"技术大咖,气氛活跃,队友给力,福利多多"
阿里巴巴（中国）有限公司,阿里妈妈,500-2000人,上市公司,朝阳区,高级测试开发工程师,3-5年,本科,25K-50K,大平台，重要业务，股票期权年底双薪年终奖
芋头科技（杭州）有限公司,Rokid,150-500人,B轮,海淀区,资深音频算法工程师,3-5年,硕士,30k-60k,"博士云集,人工智能,toC硬件,期权股票"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,高级JAVA开发,5-10年,本科,20k-40k,"年假,六险一金,领导好,平台大"
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,高级测试开发工程师,3-5年,本科,15k-30k,"行业领先,前景广阔,团队强大,薪酬丰厚"
北京蜜莱坞网络科技有限公司,映客,500-2000人,C轮,朝阳区,系统工程师,应届毕业生,本科,15k-25k,技术大牛
北京创源微致软件有限公司,创源微致,500-2000人,不需要融资,海淀区,资深平台开发，架构工程师,5-10年,本科,20k-40k,"发展前景,丰厚年终奖,五险一金,良好氛围"
北京葡萄智学科技有限公司,葡萄智学,50-150人,未融资,海淀区,Golang研发工程师,5-10年,本科,20k-38k,"互联网教育,技术牛人多,发展空间大,福利待遇好"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,大数据开发工程师,3-5年,本科,15k-25k,"海量数据,氛围轻松,福利多多,平台稳定"
融慧金科金融服务外包（北京）有限公司,融慧金科,50-150人,A轮,朝阳区,高级JAVA研发工程师,3-5年,本科,25k-50k,"带薪年假,五险一金,地铁周边,年终奖"
北京音娱时光科技有限公司,音娱时光,50-150人,A轮,海淀区,高级前端开发工程师,3-5年,本科,20k-40k,"年底双薪,绩效奖金,带薪年假,股票期权"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,系统开发工程师（Node.js）,3-5年,本科,15k-25k,"五险一金,餐补,生日会,优秀团队"
北京高因科技有限公司,居理新房,500-2000人,B轮,东城区,高级 PHP 开发工程师/架构师,5-10年,不限,25k-35k,"架构师,框架,业务复杂,系统"
云丁网络技术（北京）有限公司,云丁,150-500人,C轮,昌平区,安全开发工程师,1-3年,本科,12k-24k,"不打卡,六险一金,14薪,带薪年假"
北京金山网络科技有限公司,猎豹移动,500-2000人,上市公司,朝阳区,安全开发工程师,5-10年,本科,25k-35k,"七险一金,带薪年假,班车"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,海淀区,大数据基础架构工程师,5-10年,本科,30k-50k,"技术氛围好,发展空间大,免费健身房,年度旅行"
上海赛连信息科技有限公司,小鱼易连,150-500人,B轮,朝阳区,大数据开发工程师-北京,3-5年,本科,15k-25k,"五险一金,年底双薪,餐饮补贴,弹性工作"
北京易车互联信息技术有限公司,易车公司,2000人以上,上市公司,海淀区,JTCPJS-高级算法工程师,3-5年,本科,25k-50k,"美国上市,七险一金,车福利多多,交通便利"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,资深PHP研发工程师,3-5年,本科,20k-40k,"六险一金,年底双薪,团队氛围好,晋升空间大"
北京蜜莱坞网络科技有限公司,映客,500-2000人,C轮,朝阳区,后端研发工程师,3-5年,本科,25k-35k,"公司前景,技术分为,六险一金,办公环境"
北京直客通科技有限公司,直客通,150-500人,C轮,朝阳区,测试开发工程师,5-10年,本科,20k-40k,"五险一金,岗位晋升,休闲餐点"
北京云思畅想科技有限公司,时速云,50-150人,B轮,海淀区,Kubernetes工程师,3-5年,本科,25k-50k,"顶级团队,技术领先,工程师文化,资金充足"
北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,高级推荐排序算法工程师,3-5年,本科,25k-50k,年底双薪
兆百特（北京）信息技术有限公司,兆百特,15-50人,天使轮,朝阳区,算法研发工程师,1-3年,本科,15k-30k,"免费零食,六险一金,定期团建"
北京纯粹旅行有限公司,皇包车,150-500人,C轮,朝阳区,高级运维开发工程师,3-5年,本科,15k-30k,"巨大空间,技术专业,扁平管理,福利丰厚"
阿里健康科技（中国）有限公司,阿里健康,150-500人,上市公司,朝阳区,搜索方向资深算法专家/工程师,5-10年,硕士,25k-40k,"医疗行业,大平台,大牛多"
